id_version,NC,mWMC,mcBC
51f31da5b6c1cac493c1131f2e76a50fa29b9f8e,1016,19.682087,0.17536993
fcc5ebdf76f938eac038a71065607695b29349fc,1015,19.682758,0.1755137
fcc5ebdf76f938eac038a71065607695b29349fc,1015,19.682758,0.1755137
d65d344703714fadbe6dbce4615009f7c362fb40,1015,19.683744,0.17551297
57d3b7cbe6d9240be7f3369a8d4b90640f179612,1015,19.682758,0.17546625
dbbf8b439c830837c28f8ceb632b319de93aa51c,1015,19.680788,0.17546858
775daa0b8dba84841e2f5f92f7cf3d3fa3f77442,994,19.762575,0.1740573
d6d46b131ba533995ac6f098434bc0a1a64d90ff,994,19.763582,0.17406467
ae283d19b8777c9913f1d8ee6b49862c80a1c46c,990,19.718182,0.1732224
41b15a67f3a3cd9e95c2ef52422047ac4158bffc,990,19.6899,0.173324
666bee3f3077590293bd9afb721da20d5772622c,990,19.685858,0.17339145
347a37b1ec4246851f08dbf4e7234d516129fbb4,990,19.685858,0.17347631
98a6de17c811fccd69fe7e7035bd935009fc98c9,990,19.68788,0.17358905
8e858b3c4998c5a6f96ae245bda3803475ae2823,990,19.690908,0.17366666
06173124944fb2159f4b19efcb2941b1e9326794,987,19.716312,0.17309284
62ed67bf9668c80f2dee84de1b9a989f7b63fd28,987,19.688957,0.17309397
f25c5514c9e92c166a80dee8a6d6bca3b788c661,1012,19.929842,0.15941896
f1abca190af73ef14ddf91cfcbe753fc30a773e0,1012,19.929842,0.15933694
6a0fe0634012368a478fcc0ba4caff61e6687fbc,1012,19.95751,0.15612449
ba964dc699b5291cec14871f85cde6d07aea018b,1010,19.922771,0.15634033
04896c0a823cb87e3cb5940ac5b99cd18b1f5f1e,1010,19.915842,0.15631124
159f4210d94fdf3f416fbdea67cf7991d1704968,1010,19.915842,0.15631104
9263aeac12a7b6f04a18d3bd23ea78b9cc786006,1010,19.914852,0.1563077
9263aeac12a7b6f04a18d3bd23ea78b9cc786006,1010,19.914852,0.1563077
4804ed1555a4649f7b7ce5d8827307149fdc84a2,1010,20.094059,0.15612991
a86dab6d92a624b7f5fd8d59611a55646fbf310d,1010,20.126732,0.15609175
d275c8aa7aa94226194aacc755161b1e551ddc78,1010,20.173267,0.15601894
453ca150b5d31224e9b18b5c2b3ebb21d213fc27,1010,20.212872,0.15593682
248f6ca112f7e64dabc8e0ce69a7a7d96c08b2e5,1010,20.230694,0.15580162
87bdaa32c9ff33cc6b0e37809ac31db40c582f7b,1010,20.233664,0.15580025
2af559bccd795053fa6f8f4184f60f174fb8ff3b,1010,20.373268,0.15572059
01b91b646eecef58ea505edb1b546ee6f8f90e25,1010,20.458416,0.15569417
753f31e179395925e2d20f82a90c9c63768b552c,1010,20.48515,0.15566553
d84430eb17d72120ac565d42ad78a5a96991ba28,1010,20.494059,0.15565586
df9bad7257bf12176a46cf9effa6f01dae00e5db,1010,20.584158,0.15562288
83fb234a198453890a35f5c9edd43c79345c4bd9,1010,20.586138,0.15561794
f9bddb887f389a104bfee227f8f14138f0f19e32,1010,20.60099,0.1556132
525a02cf523b05da25a4cb1b98fc15e35a739316,1010,20.757425,0.15556659
253757b0ab7587beb5821d2f75bc960aca5bddaa,1010,20.763367,0.15556817
6b908a09c502f7fe06a9fa10a4341d946c087779,1009,20.749256,0.15563779
636218d8089086318241264f6f17cbb0f1b4f9e3,1005,20.714428,0.15620494
f579d3686d9c881497dc9f84e4e297d6a90fa550,1005,20.714428,0.15620494
a51ddfbc8f5aeb2c0c79ab8c29223e3f4840d568,1005,20.713432,0.15622982
09586921c321956db719e8e01221937506c11587,1005,20.713432,0.15622982
d461ca5e56f39f4a1f7210bc05dceb02281f1f92,1005,20.713432,0.15622982
45f9a2bd1920fa0e70913f3f1a27000097c23125,1004,20.708168,0.1561028
20a64a80eb90f06172e985f722ab53b389c62fd5,1004,20.70717,0.15610309
f4acc570b0175d39f3adb0b32a464dbac71c01f1,1004,20.70717,0.15610307
125a7559e7c00ae128f2064c017646e81897f2e3,1004,20.70717,0.15610358
a394f3ec759ae76a3b1817d6703ea48f390bc098,1004,20.630478,0.15608756
1e689e6a124a2de87f16c54690cc8bbfdffa4366,1004,20.605577,0.15612233
44c42fc887edf4670220ccd2400f3a4e0b157b86,1003,20.524427,0.15624796
40bb6123e3a7330e614bba68e651b8f77b54c777,1001,20.495504,0.15637885
c0e5864f7d36bba8c3cf7ec60f183accaed015e5,999,20.481482,0.1558434
4e63f402671b729ac7ad8efd49506db49fb7bd11,999,20.462463,0.15587683
