id_version,NC,mWMC,mcBC
edfb719af52dd3f75eca10edc504f32d02247456,993,19.183283,0.17572117
1df75d5c6067bf322bf960185cb2a363c4c3d702,993,19.180262,0.17570703
ac988cc750ce52333727f48cb83573a0c3340d38,993,19.179255,0.17570314
3094ae80c2a8246bd8804e76af8ac4af70d4c0ed,992,19.193548,0.17435396
af88b376e8a4db712a8bf38329b586f3cf879d13,993,19.186304,0.1744972
a84a05c40124731c7f6f248032831949c8625056,993,19.188318,0.17445631
defa1876cae51be09178a7e8ec238d407c5643f3,993,19.188318,0.17446882
f68f7248a4145828dfa36fc2f76924db3c543162,1009,19.443012,0.17962857
88efd12006a24d5a8f29c74f5e219b5d7dc2688c,1010,19.441584,0.179524
b2145a661c5f0563fd551867aa04e60be836346f,1010,19.437624,0.17952521
53bf421e0c34fa0c256ff27c5e98b5a520200040,1010,19.436634,0.17952633
b3551575448c2198615a70d1ebc8f9984dfd4a07,1010,19.436634,0.17952633
78d7125be8f923db5fa81e4c08cf61f08ec127cd,1010,19.435644,0.17952847
4cbfdeca0b1ed50e3258a9ffb323d1f2e5b22a0d,1007,19.46872,0.17920044
de6674f4ea2a5950bf7c60a927cbc5f0ad62b1cc,1027,19.5667,0.17548813
bdc5c2f2e3ebab784623daf4efea8b614f5b6cb9,1027,19.564753,0.1754886
14bbc6f139341b8291ac24f85b97b1a855e1df9a,1027,19.544304,0.17550124
70410ecc64a3d05ce7da2481006386f90a9e95a2,1027,19.660175,0.17551672
bb772d91ec5bbfbc44c4a7a397a403fb78ac5f84,1027,19.654333,0.17551945
b4da8ae1f16ed92650541539d9212fd316514941,1017,19.711897,0.17518806
dad922c2d11e9cb457c1a6c46539aa17cff984ec,1017,19.710915,0.17518993
5598c3bab67d096fe5fd1d18606bd6def6790fbe,1017,19.6883,0.17520896
42cecabf1487b3fff699e727415a894289b1043f,1015,19.682758,0.1755137
8c607b33dbc803c1977de6ce5e34811a7df3eaf5,1015,19.683744,0.17551266
838445209e3f7f3e43fbc6976638601dc1e068d4,1015,19.682758,0.17546996
248279a9a982f8f4d9d30c71d16e4de6987d769e,1015,19.682758,0.17546627
5803778536a64537fce1104bfecd43fe78fb760c,1015,19.680788,0.17546643
6c3a7730d4a8dd473997a7b3381884a00cf81f79,994,19.763582,0.17406467
47915f6691ba4b83a879447755d059f7e2c118d2,991,19.719475,0.17382401
7357624c96cc0b968e4cd3b9ce3c47832201a814,990,19.711111,0.1732292
7a5eaed7f8c1e6752da907c08aa93cab5b037173,990,19.685858,0.17332448
bdb31762b855ce7e10d8e8a9516332dd3e62c0e2,990,19.685858,0.17337435
435b5e09c538846cb687c99a213d275792069f45,990,19.685858,0.17350739
